State,Year,Higher Education,Vocational Educ. & Training,Schools,Independent ELICOS(f),Postgraduate Research,Other Students,Total Student Visas,Total Visas
Australian Capital Territory,2005,2920,400,690,110,980,950,6050,143380
Australian Capital Territory,2006,3190,310,690,150,660,1040,6020,154550
Australian Capital Territory,2007,3720,520,900,260,700,1280,7360,166520
Australian Capital Territory,2008,4810,630,760,230,630,1400,8420,180410
Australian Capital Territory,2009,6330,950,680,250,900,1260,10350,188340
Australian Capital Territory,2010,6940,810,780,290,1070,1420,11340,206340
Australian Capital Territory,2011,6930,700,650,250,1240,1270,11060,207680
Australian Capital Territory,2012,8070,730,710,260,1310,1520,12570,240710
Australian Capital Territory,2013,7870,580,670,170,1500,1890,12700,236920
Australian Capital Territory,2014,8200,690,760,140,1430,1820,13010,243100
Australian Capital Territory,2015,9440,640,830,200,1320,2140,14530,254140
Australian Capital Territory,2016,11260,760,890,210,1270,1320,15740,265590
Australian Capital Territory,2017,14840,970,1100,140,1430,1950,20480,300660
Australian Capital Territory,2018,18120,1120,1320,280,1770,1930,24530,340900
Australian Capital Territory,2019,17290,1340,1000,170,1780,2020,23560,341340
Australian Capital Territory,2020,4850,490,240,60,550,680,6880,82040
Australian Capital Territory,2021,630,130,10,10,120,220,1140,14540
Australian Capital Territory,2022,6850,1200,150,130,1030,900,10270,178300
Australian Capital Territory,2023,14070,1430,240,270,1530,1350,18850,309530
Australian Capital Territory,2024,12570,700,320,70,1080,1160,15900,195450
New South Wales,2005,52000,14250,11530,9480,7840,11230,106320,4166910
New South Wales,2006,60980,17440,11500,11620,3810,11080,116460,4207150
New South Wales,2007,67900,26390,13360,11990,3600,10750,134010,4415700
New South Wales,2008,78430,36690,12470,13340,4210,11260,156400,4547440
New South Wales,2009,86580,41760,12080,14620,4960,11620,171620,4594710
New South Wales,2010,90160,32510,10250,11940,5880,10940,161710,4957010
New South Wales,2011,88360,29350,9680,10480,6870,10590,155310,5187790
New South Wales,2012,88990,25690,8610,9850,7140,10540,150810,5338740
New South Wales,2013,98780,23950,7550,10150,7840,12170,160440,5664710
New South Wales,2014,107490,26040,7800,10880,8090,13530,173890,5955910
New South Wales,2015,117950,31470,9030,12420,8470,13250,192590,6277280
New South Wales,2016,138110,39920,10270,14800,9170,14120,226420,6836150
New South Wales,2017,164350,46160,11270,17300,9580,15730,264330,7338750
New South Wales,2018,183750,58000,10560,16110,10540,15690,294640,7573530
New South Wales,2019,190590,57980,9790,15660,10910,15590,300520,7605660
New South Wales,2020,58850,16180,3680,3620,3550,5950,91830,1752140
New South Wales,2021,10830,2900,120,150,1280,100,15410,360440
New South Wales,2022,92000,40550,2030,14740,6710,5350,161390,3501010
New South Wales,2023,166390,56530,4400,22120,9180,12060,270660,6478160
New South Wales,2024,144160,30440,4380,7360,7200,9360,202880,4241300
Northern Territory,2005,180,70,200,10,20,60,590,91600
Northern Territory,2006,320,40,200,60,10,40,660,98960
Northern Territory,2007,470,110,160,20,20,40,870,115320
Northern Territory,2008,830,220,200,70,100,170,1590,134790
Northern Territory,2009,960,290,170,90,50,290,1920,140620
Northern Territory,2010,740,260,170,80,100,180,1550,138240
Northern Territory,2011,1440,480,160,110,130,260,2560,159240
Northern Territory,2012,1500,330,160,70,190,200,2450,180390
Northern Territory,2013,1930,500,210,70,240,410,3380,190180
Northern Territory,2014,1860,450,310,130,360,470,3560,210580
Northern Territory,2015,1950,550,200,80,240,530,3600,195050
Northern Territory,2016,2070,600,210,110,180,510,3720,194940
Northern Territory,2017,1710,450,280,90,220,350,3080,225500
Northern Territory,2018,1350,390,240,50,190,130,2380,174870
Northern Territory,2019,1540,590,200,120,140,130,2670,180610
Northern Territory,2020,640,270,70,10,50,40,1080,38580
Northern Territory,2021,90,40,0,0,10,40,200,7600
Northern Territory,2022,1110,470,50,40,100,50,1850,69450
Northern Territory,2023,2520,650,80,110,180,60,3600,120420
Northern Territory,2024,1230,340,60,40,100,10,1780,80250
Queensland,2005,23230,3800,6950,7520,3370,7160,52050,2468340
Queensland,2006,26210,4380,6970,8790,1850,7720,55930,2515520
Queensland,2007,30500,6170,7680,8610,2100,7400,62440,2615990
Queensland,2008,37820,9680,7900,9150,2770,7360,74710,2679920
Queensland,2009,41190,17050,8220,10130,3550,8400,88520,2682410
Queensland,2010,43660,10430,8580,8020,3720,7440,81830,2828450
Queensland,2011,42440,11020,7310,7170,4190,6710,78830,2876470
Queensland,2012,41720,10630,6700,7660,5030,6950,78620,3053970
Queensland,2013,44370,9240,6440,8300,5380,9580,83290,3163390
Queensland,2014,47480,9330,6570,8430,5480,9770,87080,3226300
Queensland,2015,46870,11940,7790,8910,5750,11240,92530,3390310
Queensland,2016,50880,14070,8730,9750,5830,9660,98890,3648510
Queensland,2017,57330,16740,9530,11690,5440,9440,110180,3836060
Queensland,2018,66580,19460,10530,11350,6010,9850,123780,4113360
Queensland,2019,71040,21500,10330,12600,6330,8490,130290,4199590
Queensland,2020,23830,6350,3510,3080,1960,2870,41620,936220
Queensland,2021,960,280,40,10,340,20,1690,123260
Queensland,2022,29890,13420,2470,11780,3430,3480,64460,1763220
Queensland,2023,55910,20970,5480,16960,5320,6720,111340,3414620
Queensland,2024,47220,11540,5970,6000,3960,5270,79980,2317680
South Australia,2005,8570,840,2570,480,1160,1470,15040,370720
South Australia,2006,10750,780,2880,460,780,1590,17220,396540
South Australia,2007,12060,1110,3330,630,790,1750,19660,427370
South Australia,2008,15440,2280,3070,820,820,1530,23980,449130
South Australia,2009,17110,4330,3650,990,960,1560,28560,470990
South Australia,2010,17100,2420,3080,930,1200,1400,26150,506000
South Australia,2011,16280,2700,2660,670,1520,1500,25360,531190
South Australia,2012,15640,2890,2270,820,1640,1840,25100,576330
South Australia,2013,16790,2270,2190,640,1750,2550,26200,623060
South Australia,2014,18890,2240,2200,700,1810,3090,28940,682640
South Australia,2015,19370,2350,2910,840,1670,3190,30350,672300
South Australia,2016,21210,2600,3340,760,1530,3000,32400,708780
South Australia,2017,23520,2320,3750,680,1420,2260,33960,750760
South Australia,2018,26150,2550,4340,760,1530,1920,37230,793490
South Australia,2019,29200,3210,4570,1160,1400,1680,41190,832940
South Australia,2020,11340,1020,1580,290,510,670,15440,188100
South Australia,2021,940,180,40,10,140,0,1320,21670
South Australia,2022,15690,3320,1070,1690,1090,660,23510,367390
South Australia,2023,25190,5000,2000,2440,1560,900,37070,723970
South Australia,2024,20330,2980,2030,800,1300,950,28380,461260
Tasmania,2005,1660,140,420,160,190,210,2800,83870
Tasmania,2006,1910,210,390,170,170,230,3120,88880
Tasmania,2007,2050,180,430,150,180,270,3250,91300
Tasmania,2008,2320,350,590,180,230,280,3910,104190
Tasmania,2009,2780,370,370,150,250,340,4300,111900
Tasmania,2010,2770,270,460,120,300,330,4200,112050
Tasmania,2011,2610,210,290,140,280,340,3870,118100
Tasmania,2012,2640,190,270,90,330,290,3830,125600
Tasmania,2013,2830,210,290,30,350,210,3920,136010
Tasmania,2014,3060,160,290,40,390,420,4390,140310
Tasmania,2015,3350,160,370,50,530,410,4890,142590
Tasmania,2016,3400,120,510,70,600,330,5050,158970
Tasmania,2017,4740,350,420,120,660,490,6830,183110
Tasmania,2018,5920,650,560,40,740,370,8310,208380
Tasmania,2019,6430,1290,580,60,790,270,9440,221830
Tasmania,2020,2300,450,260,20,230,120,3370,51040
Tasmania,2021,170,40,10,0,20,0,260,8510
Tasmania,2022,1930,1220,130,40,360,90,3780,98220
Tasmania,2023,3050,1330,310,80,560,200,5590,184260
Tasmania,2024,1900,380,360,30,300,230,3200,110990
Victoria,2005,48700,7620,11760,3220,5650,7560,84530,2221670
Victoria,2006,58600,10390,11960,4030,3340,7430,95750,2305680
Victoria,2007,69300,14730,13160,4160,3230,7630,112210,2467060
Victoria,2008,81230,23940,12690,4350,3910,8080,134190,2607850
Victoria,2009,88330,34790,13210,5440,4950,8190,154940,2763110
Victoria,2010,88910,21020,11820,4770,5830,8240,140600,3089630
Victoria,2011,88190,20190,10640,4460,6280,8580,138290,3372710
Victoria,2012,86230,18070,10510,4360,6500,8970,134690,3586270
Victoria,2013,90480,15900,9350,5140,6750,10230,137880,3791750
Victoria,2014,104400,15420,9850,6350,7440,11450,154920,4056220
Victoria,2015,117610,16350,11740,7450,7860,12020,173060,4430370
Victoria,2016,140660,18990,14350,8870,7920,11770,202540,4850900
Victoria,2017,163430,23990,16570,10010,8480,10740,233270,5175590
Victoria,2018,190490,29430,17700,9910,9330,10620,267430,5609080
Victoria,2019,204420,33310,16810,11370,9890,9910,285730,5872270
Victoria,2020,69780,9890,6010,2960,3270,3660,95550,1326320
Victoria,2021,9600,1610,170,100,1040,10,12540,180620
Victoria,2022,83090,22240,2900,12210,6830,4470,131690,2727900
Victoria,2023,147190,35940,6270,16530,9860,8650,224440,4956700
Victoria,2024,136110,20010,6830,5170,7420,7650,183220,3279590
Western Australia,2005,16890,3290,3490,2310,1640,2230,29850,1119350
Western Australia,2006,17500,3360,2980,3060,1360,2110,30390,1143100
Western Australia,2007,19420,4570,3170,3430,1380,2190,34170,1314340
Western Australia,2008,23770,6390,3070,3500,1680,2130,40550,1410620
Western Australia,2009,26750,9720,2950,3270,2390,2180,47260,1542430
Western Australia,2010,27670,7350,3060,2950,2520,2650,46190,1734940
Western Australia,2011,26530,7430,2580,2840,2560,2460,44390,1871870
Western Australia,2012,25430,6830,2470,2870,3000,2690,43310,2018450
Western Australia,2013,25440,6820,1790,3040,3100,3470,43660,2140140
Western Australia,2014,26620,7820,1830,3250,3070,3890,46520,2257160
Western Australia,2015,27090,8610,1530,3780,3110,3840,47960,2217850
Western Australia,2016,29530,10380,1520,3680,3160,3720,52000,2325640
Western Australia,2017,29540,9900,1710,2840,3330,3200,50490,2316060
Western Australia,2018,30330,9100,1600,2660,3570,2770,50050,2323300
Western Australia,2019,30860,7950,1600,3060,3510,2680,49640,2362340
Western Australia,2020,12330,2190,600,800,1080,1280,18290,574130
Western Australia,2021,180,40,0,20,90,0,360,48280
Western Australia,2022,18710,4660,390,2350,1650,1100,28900,1003290
Western Australia,2023,42200,9570,850,4290,2550,2220,61710,2064060
Western Australia,2024,31570,5960,1090,1810,2010,1750,44210,1398970