Month,Temporary Student Visas - Higher Educ.,Temporary Student Visas - Vocational Educ. & Training,Temporary Student Visas - Schools,Temporary Student Visas - Independent ELICOS(f),Temporary Student Visas - Postgraduate Research,Temporary Student Visas - Other Students,Temporary Student Visas - Total,Total(h)
Jan-2005,2590,720,2680,880,620,890,8380,225620
Feb-2005,7440,580,460,590,940,1950,11960,184750
Mar-2005,1510,220,50,900,340,200,3230,198040
Apr-2005,490,210,500,610,80,520,2410,182840
May-2005,820,180,40,470,170,120,1800,168720
Jun-2005,690,200,260,420,140,370,2080,195590
Jul-2005,5440,650,1920,800,410,1530,10750,252250
Aug-2005,820,140,140,550,240,270,2160,213670
Sep-2005,850,250,570,840,140,540,3190,224640
Oct-2005,1100,290,140,630,100,190,2450,214530
Nov-2005,730,180,40,350,80,240,1620,189830
Dec-2005,750,180,150,480,110,340,2020,217860
Jan-2006,3000,700,2270,850,300,990,8110,234850
Feb-2006,8840,740,740,710,330,2120,13500,186350
Mar-2006,1740,270,90,830,120,110,3160,188740
Apr-2006,710,290,610,810,70,710,3210,195650
May-2006,820,210,140,570,90,310,2140,170720
Jun-2006,810,250,90,660,130,390,2330,197930
Jul-2006,5760,580,1860,760,200,1530,10680,252670
Aug-2006,990,300,140,820,140,300,2690,209830
Sep-2006,860,270,170,1000,90,360,2760,224300
Oct-2006,1020,310,580,720,150,310,3080,232280
Nov-2006,950,240,120,430,140,300,2180,200490
Dec-2006,710,220,160,630,90,290,2090,221710
Jan-2007,3720,1010,2690,980,330,890,9630,237880
Feb-2007,8450,650,580,730,250,1930,12580,192560
Mar-2007,2410,350,80,990,180,160,4180,204510
Apr-2007,770,330,580,890,60,420,3050,198840
May-2007,830,230,50,620,190,160,2070,183390
Jun-2007,950,480,160,630,120,390,2720,209470
Jul-2007,6780,930,2390,700,230,1800,12830,254530
Aug-2007,1460,450,150,690,190,330,3270,217320
Sep-2007,1140,430,180,970,200,290,3210,230000
Oct-2007,1600,610,600,470,90,300,3660,247800
Nov-2007,1250,370,70,490,90,350,2610,212610
Dec-2007,1140,330,150,450,170,380,2630,227080
Jan-2008,4440,1490,2710,850,380,920,10790,248970
Feb-2008,9900,970,610,740,360,1850,14430,213630
Mar-2008,3490,640,130,1110,190,260,5820,212920
Apr-2008,950,540,650,800,110,210,3260,201000
May-2008,1490,520,50,540,170,180,2960,196720
Jun-2008,1620,710,130,770,180,190,3600,206650
Jul-2008,7160,1190,2430,800,290,1980,13860,258920
Aug-2008,1880,540,130,780,260,510,4090,226660
Sep-2008,1240,720,200,870,200,230,3470,222990
Oct-2008,2320,900,660,650,270,390,5180,256040
Nov-2008,1990,750,90,650,170,240,3900,210460
Dec-2008,1340,710,110,590,190,400,3350,224960
Jan-2009,4080,1990,2620,1190,410,940,11220,253370
Feb-2009,10980,1790,780,850,390,1760,16540,196730
Mar-2009,3780,1190,70,1210,280,380,6900,204620
Apr-2009,1150,1750,670,860,160,730,5320,207410
May-2009,1480,1520,30,820,270,190,4310,194540
Jun-2009,1500,1570,80,730,230,490,4600,193020
Jul-2009,8730,2750,2620,950,460,1880,17400,254220
Aug-2009,2350,1060,190,910,300,310,5120,222600
Sep-2009,1460,870,190,980,220,400,4130,238110
Oct-2009,2560,1230,720,680,360,360,5900,261340
Nov-2009,1590,750,50,490,240,440,3560,221530
Dec-2009,1530,580,200,460,230,520,3520,234920
Jan-2010,4690,1900,2810,990,590,1030,12010,258330
Feb-2010,12870,1500,600,790,430,1740,17930,216340
Mar-2010,4290,870,100,770,310,180,6510,219880
Apr-2010,1320,730,650,540,250,470,3950,209670
May-2010,1420,460,70,630,190,190,2960,193210
Jun-2010,1480,560,120,590,260,370,3390,215660
Jul-2010,8730,1220,3020,630,290,2010,15890,286320
Aug-2010,2120,440,70,700,330,290,3950,237680
Sep-2010,1880,630,220,970,300,430,4430,251330
Oct-2010,1810,910,670,580,260,240,4460,263480
Nov-2010,1350,630,60,390,270,180,2890,227570
Dec-2010,1700,580,190,440,240,310,3460,248980
Jan-2011,4370,1820,2500,800,560,940,10990,271870
Feb-2011,13400,1520,600,690,550,1700,18460,213690
Mar-2011,3870,940,70,570,300,120,5870,202720
Apr-2011,760,710,680,470,270,390,3280,214530
May-2011,1980,720,70,510,300,530,4110,212890
Jun-2011,1270,730,80,470,220,380,3140,210500
Jul-2011,8960,1150,2240,760,480,1520,15120,297860
Aug-2011,1690,680,50,640,300,250,3610,245480
Sep-2011,1520,710,240,900,390,170,3930,247660
Oct-2011,1690,820,620,530,230,180,4070,275050
Nov-2011,1380,650,40,370,320,210,2970,229680
Dec-2011,1550,570,120,460,270,320,3280,254540
Jan-2012,4080,1890,2110,930,620,890,10510,290890
Feb-2012,13220,1820,540,930,550,1830,18890,221790
Mar-2012,2850,950,50,640,330,130,4950,231250
Apr-2012,1320,730,680,540,310,370,3940,234250
May-2012,1180,600,40,470,290,200,2770,209560
Jun-2012,1390,670,160,450,340,470,3480,238430
Jul-2012,8930,870,2040,620,540,1440,14420,300270
Aug-2012,1770,720,110,690,360,350,4000,252890
Sep-2012,2220,730,190,870,570,430,5000,267890
Oct-2012,1710,660,610,480,540,220,4220,296300
Nov-2012,1470,480,30,570,290,210,3050,242440
Dec-2012,1580,510,140,470,290,410,3390,268010
Jan-2013,4150,1630,2050,1060,700,1180,10770,293940
Feb-2013,13020,1000,460,660,620,2040,17790,237190
Mar-2013,3220,810,60,740,440,170,5450,251250
Apr-2013,1320,660,650,620,450,790,4490,242230
May-2013,1240,480,70,550,240,150,2720,214910
Jun-2013,1960,660,110,660,390,470,4240,245060
Jul-2013,9940,860,1990,670,490,2340,16300,315570
Aug-2013,1660,710,80,890,570,520,4440,270380
Sep-2013,1790,650,80,910,430,430,4280,266170
Oct-2013,2690,750,660,650,440,540,5730,307250
Nov-2013,1670,550,90,590,320,430,3640,247370
Dec-2013,1710,480,140,300,290,520,3440,272070
Jan-2014,4240,1200,1860,980,820,870,9960,318950
Feb-2014,13350,920,540,700,650,2290,18460,237550
Mar-2014,4360,770,110,880,370,250,6730,241400
Apr-2014,1430,680,570,450,310,600,4040,254530
May-2014,1850,550,30,610,350,230,3630,225570
Jun-2014,2320,780,70,590,390,520,4670,234330
Jul-2014,9090,850,2170,580,510,2310,15530,323230
Aug-2014,2870,800,120,960,500,500,5750,281410
Sep-2014,1960,640,160,880,530,320,4490,271930
Oct-2014,2790,890,780,680,370,820,6340,307900
Nov-2014,1350,590,50,640,350,360,3330,250260
Dec-2014,1870,660,110,480,330,700,4150,279240
Jan-2015,4490,1480,2300,910,910,1080,11170,321680
Feb-2015,11610,800,380,670,460,2420,16340,257380
Mar-2015,5410,1110,40,930,440,320,8260,262130
Apr-2015,1500,820,830,790,440,640,5030,255420
May-2015,1620,980,50,540,350,320,3860,239720
Jun-2015,1660,980,100,580,380,550,4260,245160
Jul-2015,9840,1220,2710,690,750,2720,17940,331510
Aug-2015,2430,840,170,840,470,380,5130,277390
Sep-2015,1860,1020,160,1010,390,690,5130,293870
Oct-2015,2550,1070,840,820,370,730,6390,324440
Nov-2015,1860,900,60,580,430,670,4490,272080
Dec-2015,2040,720,150,550,360,720,4530,309530
Jan-2016,4510,1820,2810,850,960,910,11860,347800
Feb-2016,14770,1210,350,720,730,2240,20010,282530
Mar-2016,4010,1010,50,820,430,210,6530,282800
Apr-2016,1450,1030,900,820,480,860,5540,279120
May-2016,1930,890,30,640,300,370,4150,257200
Jun-2016,2160,1160,100,790,340,370,4930,263480
Jul-2016,10630,1200,2760,590,610,1980,17760,358310
Aug-2016,2300,1000,160,1000,390,320,5170,300580
Sep-2016,2070,1440,420,1220,460,540,6140,322470
Oct-2016,3240,1350,910,930,420,780,7640,347970
Nov-2016,1760,1010,60,850,340,320,4330,279540
Dec-2016,2050,950,180,520,370,760,4830,326710
Jan-2017,4590,2120,3050,1220,730,820,12540,355850
Feb-2017,16330,1710,470,820,700,2220,22250,282610
Mar-2017,3620,1280,30,1190,370,370,6870,288270
Apr-2017,2100,1400,1040,1150,430,910,7030,305350
May-2017,1810,1170,70,650,380,250,4320,268690
Jun-2017,2760,1370,160,870,380,670,6210,283020
Jul-2017,12600,1540,3070,920,580,1620,20330,379550
Aug-2017,2480,1250,220,1130,400,360,5840,322590
Sep-2017,2120,1280,320,1130,380,570,5790,343590
Oct-2017,3350,1370,800,1030,420,470,7440,356700
Nov-2017,2780,1210,60,940,230,660,5890,302910
Dec-2017,2790,1040,240,640,440,520,5670,346930
Jan-2018,6510,2450,3600,1090,830,1130,15620,389630
Feb-2018,17070,1620,500,890,560,1960,22590,311370
Mar-2018,3760,1550,40,1160,470,220,7200,324060
Apr-2018,3970,1650,1260,1010,490,1580,9960,318810
May-2018,1970,1560,70,780,330,260,4980,287950
Jun-2018,3670,1510,90,850,420,500,7040,309990
Jul-2018,14900,1810,3120,790,680,1850,23150,408700
Aug-2018,2750,1360,170,1160,390,530,6360,359060
Sep-2018,2510,1560,160,1220,540,510,6510,349420
Oct-2018,3620,1740,1290,1050,540,450,8680,381890
Nov-2018,2850,1380,90,870,380,370,5930,305560
Dec-2018,3000,1270,140,480,380,490,5760,366920
Jan-2019,5770,3050,3320,1090,900,900,15030,411220
Feb-2019,20460,1890,530,1080,750,1820,26530,313720
Mar-2019,4520,1640,60,1450,440,270,8390,322850
Apr-2019,2420,1770,1220,1030,440,680,7550,323180
May-2019,2490,1720,80,870,380,440,5980,312130
Jun-2019,4030,1600,90,910,560,690,7880,318590
Jul-2019,15970,2020,3120,870,600,1640,24230,410700
Aug-2019,2620,1510,200,1180,450,600,6560,357020
Sep-2019,2460,1730,190,1600,460,270,6710,345060
Oct-2019,3960,1830,1180,960,470,420,8820,382780
Nov-2019,2920,1580,70,970,360,300,6190,324850
Dec-2019,3420,1160,270,590,520,460,6420,377490
Jan-2020,6750,3170,3110,1160,1020,810,16020,428180
Feb-2020,11400,2130,310,1250,640,1860,17600,286860
Mar-2020,5570,1050,90,670,280,200,7860,187900
Apr-2020,0,0,0,0,0,0,0,4200
May-2020,0,0,0,0,0,0,0,3560
Jun-2020,10,0,0,0,0,0,20,5570
Jul-2020,10,0,0,0,0,0,10,3360
Aug-2020,10,0,0,0,0,0,10,2320
Sep-2020,20,0,0,0,0,0,20,2520
Oct-2020,20,0,0,0,0,0,20,3440
Nov-2020,20,0,0,0,10,0,30,3850
Dec-2020,20,0,0,0,10,0,30,4460
Jan-2021,30,10,0,0,0,0,40,5010
Feb-2021,20,0,0,0,0,0,30,4440
Mar-2021,10,0,0,0,20,0,40,4610
Apr-2021,30,0,0,0,30,10,80,9530
May-2021,20,10,10,0,30,0,60,24420
Jun-2021,30,10,10,0,30,0,80,26050
Jul-2021,40,20,0,0,10,0,80,16720
Aug-2021,20,10,0,0,10,0,40,6870
Sep-2021,10,0,0,0,10,0,20,4270
Oct-2021,10,0,0,0,10,0,30,4270
Nov-2021,30,0,0,0,30,10,70,5380
Dec-2021,710,220,20,10,160,0,1120,11690
Jan-2022,1810,380,100,40,180,20,2540,22420
Feb-2022,4730,620,160,210,270,90,6080,36890
Mar-2022,2250,900,90,570,310,60,4180,61620
Apr-2022,1030,960,320,730,270,40,3340,101610
May-2022,1260,1020,30,690,270,80,3350,115880
Jun-2022,1870,1190,100,820,280,230,4490,139770
Jul-2022,6840,1100,960,640,350,1380,11260,200790
Aug-2022,2560,1360,100,1590,280,360,6250,195850
Sep-2022,1620,1600,200,1950,360,320,6050,207290
Oct-2022,1310,1430,190,1670,330,330,5260,223230
Nov-2022,1950,1530,60,1840,230,310,5910,216610
Dec-2022,2660,1330,160,1030,300,260,5750,241260
Jan-2023,4140,2390,1640,1230,490,640,10540,288710
Feb-2023,13510,1890,260,1670,480,1490,19300,228730
Mar-2023,3780,2010,50,2060,510,210,8610,242480
Apr-2023,1990,1910,520,1600,430,510,6950,251260
May-2023,2230,1640,100,1650,360,210,6190,245790
Jun-2023,3530,1960,140,1500,480,400,8000,271770
Jul-2023,13880,1880,1650,1130,560,1690,20790,332640
Aug-2023,2770,1760,90,1510,360,250,6740,298760
Sep-2023,2290,1430,290,1760,390,380,6540,319410
Oct-2023,2150,1520,350,1070,400,390,5880,316350
Nov-2023,2450,1280,90,1090,360,270,5530,289200
Dec-2023,3190,1300,300,690,500,280,6270,329520
Jan-2024,5170,2620,2650,1030,770,750,13000,363550
Feb-2024,17970,1700,160,1140,710,1340,23020,304780
Mar-2024,3060,1430,100,1080,470,230,6360,332220
Apr-2024,2630,1610,790,780,500,520,6840,322600
May-2024,2080,1220,60,730,410,180,4680,287780
Jun-2024,2630,1320,260,750,470,470,5910,314600
Jul-2024,13680,1640,1950,490,630,1780,20170,392150
,,,,,,,,
Commonwealth of Australia 2024,,,,,,,,