Nationality,Number of Students 
China,153921
India,124829
Nepal,59580
"Korea, Republic of (South)",12394
Brazil,22788
United States of America,6277
Malaysia,15653
Thailand,24224
Vietnam,30858
Colombia,35800
Japan,10582
Indonesia,20122
Philippines,32696
Pakistan,23322
Germany,4031
Taiwan,9117
United Kingdom†,4881
Hong Kong,12009
Singapore,6561
Sri Lanka,15504
Canada,3774
Bangladesh,11389
France,3388
Italy,3544
Saudi Arabia,3492
Spain,5147
Norway,2269
Chile,5706
Mexico,3347
Kenya,7885
Sweden,920
Bhutan,10217
Turkiye,4115
Switzerland,774
Iran,2700
Mauritius,1620
Mongolia,5699
Czech Republic,487
Denmark,842
Netherlands,912
Poland,637
Nigeria,2837
Cambodia,3229
Peru,2322
Fiji,4476
Argentina,3052
Myanmar,1696
Zimbabwe,1396
Ireland,693
Russian Federation,1010
Papua New Guinea,1237
Slovakia,336
South Africa,1029
Austria,281
Portugal,492
Ecuador,1911
Lebanon,481
Hungary,193
United Arab Emirates,275
Egypt,641
Oman,195
Venezuela,228
Belgium,500
Finland,228
Jordan,411
Greece,243
Kuwait,368
Macau,516
Lithuania,530
Brunei Darussalam,249
Laos,909
Zambia,213
Israel,152
Ghana,492
Botswana,146
Estonia,144
Iraq,75
North Macedonia,216
Romania,118
Maldives,162
Ukraine,120
Bulgaria,70
Kazakhstan,198
Uganda,281
Ethiopia,329
Tanzania,111
Bahrain,24
Slovenia,54
East Timor,93
Solomon Islands,121
Uzbekistan,158
Uruguay,195
Serbia,68
Croatia,47
Latvia,57
Seychelles,31
Paraguay,147
Malawi,75
Qatar,10
Iceland,26
Bolivia,129
Morocco,82
El Salvador,81
Guatemala,112
Albania,50
Tonga,73
Syria,24
Cyprus,38
Azerbaijan,62
Luxembourg,17
Costa Rica,62
Gaza Strip and West Bank,29
Sudan,40
Nauru,97
Afghanistan,29
Bosnia and Herzegovina,25
Cameroon,39
Belarus,39
Mozambique,39
Yemen,36
Kiribati,22
Panama,44
Rwanda,36
Malta,23
Vanuatu,33
Trinidad and Tobago,14
Jamaica,20
Samoa ,22
Kyrgyzstan,50
Honduras,29
Algeria,24
Tunisia,17
Armenia,33
Dominican Republic,26
"Congo, Democratic Republic of",27
Sierra Leone,38
Namibia,15
Andorra,12
Tuvalu,15
Cuba,11
Madagascar,13
Burundi,21
Liberia,11
Dominica,13